main,address,added,upped,view_count,hearts,lat,lon,Тип предложения,Серия,Дом,Этаж,Площадь,Отопление,Состояние,Газ,Санузел,Балкон,Входная дверь,Парковка,Высота потолков,Безопасность,Правоустанавливающие документы,Телефон,Интернет,Мебель,Возможность рассрочки,Возможность обмена,Разное,Пол,Возможность ипотеки,Площадь участка,Канализация,Питьевая вода,Электричество,usd_price
"3-комн. кв., 113.8 м2","Бишкек, Московская - Уметалиева, Московская, 191",Добавлено 2 месяца назад,Поднято 12 часов назад,302,1.0,42.8711,74.5823,от агента,индивид. планировка,"кирпичный, 2017 г.",10 этаж из 12,"113.8 м2, жилая: 62.9 м2",,,,,,,,3 м.,,,,,,,,,,есть,,,,,157000
"2-комн. кв., 66 м2","Бишкек, с. Кок-Джар, с.Кок-Жар, ул.Конкур Осмона 6/1",Добавлено 7 дней назад,Поднято 7 часов назад,102,,42.8131,74.6482,от агента,элитка,"монолитный, 2023 г.",10 этаж из 12,66 м2,на газе,евроремонт,магистральный,совмещенный,нет,бронированная,паркинг,3 м.,"охрана,                                             видеодомофон,                                             видеонаблюдение,                                             кодовый замок",,,,частично меблирована,,,"пластиковые окна,                                             неугловая,                                             кладовка,                                             тихий двор",ламинат,,,,,,96500
"3-комн. кв., 68 м2","Бишкек, 12 м-н, 12-й микрорайон, 69",Добавлено 5 дней назад,Поднято 9 часов назад,104,,42.8129,74.639,от агента,106 серия,"кирпичный, 1990 г.",7 этаж из 9,"68 м2, жилая: 40 м2",,,,,,,,2.8 м.,,,,,,,,,,нет,,,,,108500
"4-комн. кв., 135 м2","Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",Добавлено 4 месяца назад,Поднято 7 часов назад,797,3.0,42.8171,74.6059,от агента,элитка,"монолитный, 2022 г.",6 этаж из 14,135 м2,на газе,евроремонт,автономный,раздельный,застекленный балкон,бронированная,паркинг,3 м.,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","договор долевого участия,                                             красная книга",возможно подключение,оптика,полностью меблирована,,,"пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор,                                             удобно под бизнес",ламинат,,,,,,260000
"2-комн. кв., 67 м2","Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",Добавлено 3 месяца назад,Поднято 20 дней назад,512,1.0,42.8467,74.5656,от агента,элитка,"монолитный, 2023 г.",6 этаж из 14,67 м2,на газе,евроремонт,автономный,2 с/у и более,застекленный балкон,металлическая,паркинг,3 м.,домофон,технический паспорт,возможно подключение,проводной,полностью меблирована,,,"улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",ламинат,,,,,,103000
"1-комн. кв., 34 м2","Бишкек, Московская - Белинка",Добавлено 9 месяцев назад,Поднято 9 часов назад,2754,11.0,42.8658,74.5903,от агента,хрущевка,"кирпичный, 1970 г.",3 этаж из 3,34 м2,центральное,под самоотделку (псо),магистральный,раздельный,балкон,бронированная,,3.5 м.,домофон,"договор купли-продажи,                                             технический паспорт",нет,проводной,пустая,нет,обмен не предлагать,"неугловая,                                             тихий двор",,нет,,,,,54000
"3-комн. кв., 85 м2","Бишкек, Кок-Жар ж/м, Шабдан Баатыра/Шоокум",Добавлено 3 месяца назад,Поднято 3 дня назад,928,12.0,42.85,74.6347,от собственника,элитка,"монолитный, 2021 г.",9 этаж из 13,85 м2,центральное,евроремонт,магистральный,2 с/у и более,балкон,бронированная,паркинг,3 м.,"домофон,                                             сигнализация,                                             видеодомофон,                                             кодовый замок,                                             видеонаблюдение",,,,полностью меблирована,,рассмотрю варианты,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",ламинат,,,,,,130000
"2-комн. кв., 70 м2","Бишкек, Госрегистр, пр. Чингиза Айтматова 4",Добавлено 2 месяца назад,Поднято 14 часов назад,544,2.0,42.8626,74.5883,от агента,элитка,"монолитный, 2019 г.",10 этаж из 12,"70 м2, кухня: 14 м2",центральное,евроремонт,магистральный,раздельный,застекленный балкон,бронированная,паркинг,3 м.,"домофон,                                             охрана,                                             видеонаблюдение,                                             консьерж","договор дарения,                                             технический паспорт",есть,adsl,полностью меблирована,,,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",ламинат,,,,,,115000
"2-комн. кв., 48 м2","Бишкек, АЮ Grand, мкр. Тунгуч",Добавлено 1 месяц назад,Поднято 15 часов назад,263,2.0,42.8548,74.6766,от агента,элитка,"монолитный, 2023 г.",2 этаж из 13,48 м2,центральное,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,58000
"2-комн. кв., 67 м2","Бишкек, АЮ Grand, Анкара/Ауэзова",Добавлено 1 месяц назад,Поднято 15 часов назад,335,,42.8569,74.6895,от агента,106 серия улучшенная,панельный,4 этаж из 9,67 м2,на газе,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,57000
"2-комн. кв., 67 м2","Бишкек, АЮ Grand,  ул.Анкар  1/19",Добавлено 28 дней назад,Поднято 9 часов назад,235,,42.8565,74.672,от агента,элитка,"монолитный, 2024 г.",1 этаж из 14,67 м2,центральное,евроремонт,,,,,,,,договор долевого участия,,,,,,,,,,,,,96500
"1-комн. кв., 42 м2","Бишкек, АЮ Grand,  ул. Анкара 1/31",Добавлено 2 месяца назад,Поднято 7 часов назад,349,2.0,42.8563,74.6886,от агента,элитка,"монолитный, 2024 г.",12 этаж из 14,42 м2,,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,50000
"2-комн. кв., 66.73 м2","Бишкек, Чуй - Алматинка,  ул. Буденного 12",Добавлено 2 месяца назад,,508,,42.8763,74.6409,от собственника,элитка,"монолитный, 2025 г.",12 этаж из 14,66.73 м2,центральное,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,73403
"1-комн. кв., 45 м2","Бишкек, Кок-Жар м-н, 7Апреля 2/19",Добавлено 2 месяца назад,Поднято 2 месяца назад,325,4.0,42.8461,74.6335,от собственника,106 серия улучшенная,"панельный, 2013 г.",8 этаж из 9,45 м2,,хорошее,автономный,совмещенный,лоджия,металлическая,,,"домофон,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт,                                             акт ввода в эксплуатацию",нет,проводной,частично меблирована,,,"пластиковые окна,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             встроенная кухня",ламинат,,,,,,60000
"3-комн. кв., 74 м2","Бишкек, Горького - Панфилова, Фатьянова 5/Л. Толстого",Добавлено 23 дня назад,,188,,42.8615,74.6051,от собственника,индивид. планировка,"кирпичный, 1968 г.",5 этаж из 5,74 м2,центральное,хорошее,магистральный,раздельный,застекленный балкон,металлическая,паркинг,2.8 м.,домофон,технический паспорт,есть,проводной,частично меблирована,,обмен не предлагать,"пластиковые окна,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",дерево,есть,,,,,100000
"1-комн. кв., 30 м2","Бишкек, ТЭЦ, Хивинская",Добавлено 2 дня назад,,80,,42.8765,74.6561,от собственника,индивид. планировка,"монолитный, 2025 г.",1 этаж из 3,"30 м2, жилая: 18 м2, кухня: 6 м2",на газе,под самоотделку (псо),магистральный,совмещенный,балкон,бронированная,паркинг,3 м.,,,возможно подключение,,пустая,,рассмотрю варианты,"пластиковые окна,                                             улучшенная,                                             неугловая,                                             тихий двор",,,,,,,38000
"2-комн. кв., 52 м2","Бишкек, Бишкек-Парк",Добавлено 1 месяц назад,Поднято 7 часов назад,196,,42.8751,74.5894,от агента,104 серия,панельный,1 этаж из 4,52 м2,центральное,среднее,,,,,,,,технический паспорт,,,,,,,,,,,,,102000
"2-комн. кв., 66 м2","Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",Добавлено 4 месяца назад,Поднято 9 часов назад,789,1.0,42.8181,74.6031,от агента,элитка,"монолитный, 2021 г.",4 этаж из 12,66 м2,центральное,евроремонт,автономный,совмещенный,балкон,бронированная,паркинг,3 м.,,"договор долевого участия,                                             красная книга",,,частично меблирована,есть,рассмотрю варианты,"новая сантехника,                                             кондиционер,                                             неугловая,                                             встроенная кухня",линолеум,,,,,,101000
"2-комн. кв., 77.46 м2","Бишкек, Магистраль, Байтик Баатыра, 4Б",Добавлено 7 дней назад,Поднято 9 часов назад,75,,42.8181,74.605,от агента,индивид. планировка,"монолитный, 2023 г.",6 этаж из 12,"77.46 м2, жилая: 38.67 м2",,,,,,,,3.2 м.,,,,,,,,,,нет,,,,,98000
"2-комн. кв., 76 м2","Бишкек, Ипподром, Л. Толстого 126",Добавлено 2 месяца назад,Поднято 15 часов назад,323,,42.8641,74.558,от агента,элитка,"монолитный, 2025 г.",8 этаж из 17,76 м2,на газе,под самоотделку (псо),,,,,,3.1 м.,,,,,,,,,,,,,,,74000
