Серия_индивид. планировка,Серия_элитка,Серия_106 серия,Серия_хрущевка,Серия_104 серия,Серия_108 серия,Серия_105 серия,Серия_пентхаус,Серия_малосемейка,Серия_сталинка,Серия_107 серия,Отопление_на газе,Отопление_центральное,Отопление_автономное,Отопление_электрическое,Отопление_смешанное,Отопление_на твердом топливе,Отопление_без отопления,Состояние_евроремонт,Состояние_под самоотделку (псо),Состояние_хорошее,Состояние_среднее,Состояние_не достроено,rooms,area,От собственника,year,house_type_кирпичный,house_type_монолитный,house_type_панельный,floor,total_floors,red_book,tech_passport,sale_contract,price_per_sqm
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,113.8,0,2017,1,0,0,10,12,0,0,0,1379.6133567662566
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,66.0,0,2023,0,1,0,10,12,0,0,0,1462.121212121212
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68.0,0,1990,1,0,0,7,9,0,0,0,1595.5882352941176
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,135.0,0,2022,0,1,0,6,14,1,0,0,1925.9259259259259
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,67.0,0,2023,0,1,0,6,14,0,1,0,1537.313432835821
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,34.0,0,1970,1,0,0,3,3,0,1,1,1588.235294117647
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,85.0,1,2021,0,1,0,9,13,0,0,0,1529.4117647058824
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,70.0,0,2019,0,1,0,10,12,0,1,0,1642.857142857143
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,48.0,0,2023,0,1,0,2,13,0,0,0,1208.3333333333333
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,67.0,0,2019,0,0,1,4,9,0,0,0,850.7462686567164
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,67.0,0,2024,0,1,0,1,14,0,0,0,1440.2985074626865
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,42.0,0,2024,0,1,0,12,14,0,0,0,1190.4761904761904
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,66.73,1,2025,0,1,0,12,14,0,0,0,1100.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45.0,1,2013,0,0,1,8,9,0,1,1,1333.3333333333333
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,74.0,1,1968,1,0,0,5,5,0,1,0,1351.3513513513512
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,30.0,1,2025,0,1,0,1,3,0,0,0,1266.6666666666667
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,52.0,0,1975,0,0,1,1,4,0,1,0,1961.5384615384614
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,66.0,0,2021,0,1,0,4,12,1,0,0,1530.3030303030303
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,77.46,0,2023,0,1,0,6,12,0,0,0,1265.169119545572
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,76.0,0,2025,0,1,0,8,17,0,0,0,973.6842105263158
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.0,0,2025,1,0,0,3,14,0,0,0,1597.560975609756
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,35.0,0,2019,0,0,1,3,9,0,0,0,1685.7142857142858
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,78.0,0,2025,0,1,0,4,15,0,0,0,1000.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,82.1,0,2023,0,1,0,10,12,0,0,0,1100.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,80.0,0,2022,0,1,0,3,14,0,0,0,2037.5
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,72.3,0,2023,0,1,0,3,14,1,0,0,1376.210235131397
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,52.0,0,2023,1,0,0,4,9,0,1,0,1471.1538461538462
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,70.0,0,2019,0,1,0,9,9,0,0,0,1257.142857142857
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,115.0,0,2025,1,0,0,4,4,0,0,0,1700.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,173.0,0,2018,0,1,0,6,10,0,1,1,2861.271676300578
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,156.0,0,2024,0,1,0,12,18,1,0,1,1600.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,73.5,0,2022,0,1,0,11,12,0,0,0,1421.7687074829932
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,46.6,0,2023,0,1,0,2,5,0,0,0,1030.0429184549355
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,154.0,0,2025,0,1,0,13,14,1,0,0,1100.6493506493507
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,47.4,1,2025,1,0,0,11,13,0,0,0,1660.337552742616
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,64.0,1,1987,0,0,1,9,9,0,1,1,1531.25
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51.0,0,2021,0,0,1,2,9,0,0,0,1529.4117647058824
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,108.0,0,2020,1,0,0,9,14,0,0,0,1157.4074074074074
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,97.0,0,2026,1,0,0,9,17,1,0,0,1150.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,82.77,0,2022,0,1,0,12,14,0,0,0,1350.0060408360519
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,82.0,0,2022,0,1,0,8,12,0,0,0,1100.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,82.0,0,2022,1,0,0,2,12,0,0,0,1201.219512195122
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,42.0,0,2021,0,1,0,9,9,0,0,0,1642.857142857143
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,53.4,0,2025,0,1,0,8,15,0,0,0,1498.1273408239701
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,98.0,0,2025,0,1,0,12,15,1,0,0,1350.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,182.0,0,2019,0,1,0,11,14,1,1,0,1923.076923076923
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,110.6,0,2025,0,1,0,6,20,0,0,0,1198.996383363472
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,100.13,0,2022,0,1,0,14,14,0,0,0,739.0392489763308
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,136.0,0,1983,1,0,0,2,5,0,0,0,1433.8235294117646
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40.0,1,2023,1,0,0,3,10,0,0,0,1437.5
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,59.0,0,1975,0,0,1,5,5,0,1,1,1389.8305084745762
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,50.0,0,2025,0,0,1,4,5,0,1,1,1440.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,74.0,0,2023,0,1,0,1,8,1,1,1,1148.6486486486488
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.2,0,2015,0,1,0,2,3,0,0,0,1578.5123966942149
